,F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
25,110015,110016,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
26,110017,110020,0.00094,0.03327,0.0,273.2,273.2,273.2,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
27,110017,110137,0.00318,0.01804,0.11729,243.3,243.3,243.3,0,0,1,0,0,13.19,-22.06,-13.17,9.75,0,0,0,0
28,110017,110157,0.00337,0.0234,0.01262,269.9,269.9,269.9,0,0,1,0,0,-64.48,20.94,64.63,-21.24,0,0,0,0
29,110017,111409,0.00755,0.0389,0.01115,234.6,234.6,234.6,0,0,1,0,0,40.3,-1.59,-40.18,1.01,0,0,0,0
30,110018,110020,0.0,0.01,0.0,33.8,33.8,33.8,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
31,110019,110020,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
32,110021,110024,0.00195,0.04935,0.0,242.9,242.9,242.9,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
33,110021,110053,0.00461,0.02688,0.0213,242.2,242.2,242.2,0,0,1,0,0,-28.02,0.12,28.05,-2.16,0,0,0,0
34,110021,110134,0.00377,0.02279,0.00653,238.7,238.7,238.7,0,0,1,0,0,19.72,-2.0,-19.7,1.4,0,0,0,0
35,110022,110024,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
36,110023,110024,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
37,110025,110028,0.00151,0.04917,0.0,242.8,242.8,242.8,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
38,110025,110061,0.00302,0.01829,0.01171,208.1,208.1,208.1,0,0,1,0,0,-30.96,-4.62,30.99,3.55,0,0,0,0
39,110134,110025,0.00295,0.01943,0.01011,219.6,219.6,219.6,0,0,1,0,0,-23.64,-3.46,23.66,2.51,0,0,0,0
40,110026,110028,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
41,110027,110028,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
42,110029,110032,0.00228,0.05634,0.0,271.1,271.1,271.1,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
43,110073,110029,0.00574,0.02779,0.02677,301.8,301.8,301.8,0,0,1,0,0,97.11,-28.64,-96.55,28.5,0,0,0,0
44,110029,111363,0.0041,0.01872,0.00734,295.9,295.9,295.9,0,0,1,0,0,88.85,-30.53,-88.51,31.31,0,0,0,0
45,110030,110032,0.0,0.01,0.0,23.3,23.3,23.3,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
46,110031,110032,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
47,110033,110036,0.00213,0.05803,0.0,271.0,271.0,271.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
48,110121,110033,0.00661,0.04155,0.01919,296.2,296.2,296.2,0,0,1,0,0,178.85,-9.06,-176.82,19.81,0,0,0,0
49,110033,110719,0.0109,0.06874,0.148,292.0,292.0,292.0,0,0,1,0,0,169.32,-21.61,-166.27,25.55,0,0,0,0
50,110034,110036,0.0,0.01,0.0,23.0,23.0,23.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
51,110035,110036,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
52,110037,110040,0.00183,0.0594,0.0,242.1,242.1,242.1,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
53,110037,110118,0.00252,0.01403,0.00701,277.1,277.1,277.1,0,0,1,0,0,140.01,7.58,-139.54,-5.73,0,0,0,0
54,110124,110037,0.00349,0.01674,0.0138,278.8,278.8,278.8,0,0,1,0,0,4.82,31.39,-4.79,-32.7,0,0,0,0
55,110037,230007,0.00354,0.01472,0.09579,279.4,279.4,279.4,0,0,1,0,0,-139.47,24.44,140.14,-31.86,0,0,0,0
56,110038,110040,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
57,110039,110040,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
58,110041,110044,0.00159,0.0418,0.0,241.5,241.5,241.5,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
59,110041,110061,0.00523,0.03641,0.012,210.5,210.5,210.5,0,0,1,0,0,32.62,3.03,-32.57,-3.93,0,0,0,0
60,110042,110044,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
61,110043,110044,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
62,110045,110048,0.00204,0.06034,0.0,241.1,241.1,241.1,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
63,110053,110045,0.00429,0.02769,0.02259,286.3,286.3,286.3,0,0,1,0,0,114.05,-26.65,-113.49,27.85,0,0,0,0
64,110045,110057,0.00533,0.0283,0.04685,270.9,270.9,270.9,0,0,1,0,0,-59.82,14.2,60.02,-18.12,0,0,0,0
65,110045,110118,0.00384,0.01623,0.10106,302.3,302.3,302.3,0,0,1,0,0,85.79,-21.29,-85.52,11.77,0,0,0,0
66,110045,110118,0.00384,0.01623,0.10106,302.3,302.3,302.3,0,0,1,0,0,85.79,-21.29,-85.52,11.77,0,0,0,0
67,110046,110048,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
68,110047,110048,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
69,110049,110052,0.0016,0.04137,0.0,240.5,240.5,240.5,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
70,110049,110053,0.00483,0.02832,0.01236,267.1,267.1,267.1,0,0,1,0,0,32.55,-11.31,-32.49,10.33,0,0,0,0
71,110049,110057,0.00675,0.03847,0.01338,287.3,287.3,287.3,0,0,1,0,0,60.89,-17.85,-60.63,17.91,0,0,0,0
72,110049,110077,0.01119,0.05297,0.03385,270.1,270.1,270.1,0,0,1,0,0,71.81,-9.94,-71.26,9.03,0,0,0,0
73,110133,110049,0.00196,0.01009,0.00122,336.6,336.6,336.6,0,0,1,0,0,168.89,-36.06,-168.33,38.8,0,0,0,0
74,110050,110052,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
75,110051,110052,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
76,110053,110056,0.00089,0.03289,0.0,238.6,238.6,238.6,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
77,110053,160133,0.01732,0.08203,0.03836,275.3,275.3,275.3,0,0,1,0,0,-113.86,17.8,116.06,-11.46,0,0,0,0
78,110054,110056,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
79,110055,110056,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
80,110057,110060,0.00304,0.07351,0.0,238.1,238.1,238.1,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
81,110058,110060,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
82,110059,110060,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
83,110061,110064,0.00133,0.04024,0.0,237.4,237.4,237.4,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
84,110062,110064,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
85,110063,110064,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
86,110065,110068,0.00119,0.04068,0.0,236.9,236.9,236.9,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
87,110132,110065,0.00632,0.02824,0.01618,271.8,271.8,271.8,0,0,1,0,0,40.73,-17.82,-40.61,16.66,0,0,0,0
88,110065,110729,0.00663,0.03007,0.05065,361.6,361.6,361.6,0,0,1,0,0,237.73,-23.57,-234.12,34.67,0,0,0,0
89,110065,110729,0.00663,0.03007,0.05065,361.6,361.6,361.6,0,0,1,0,0,237.73,-23.57,-234.12,34.67,0,0,0,0
90,111363,110065,0.00381,0.02599,0.01256,331.0,331.0,331.0,0,0,1,0,0,171.97,5.15,-170.91,0.78,0,0,0,0
91,111363,110065,0.00381,0.02599,0.01256,331.0,331.0,331.0,0,0,1,0,0,171.97,5.15,-170.91,0.78,0,0,0,0
92,110066,110068,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
93,110067,110068,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
94,110069,110072,0.00224,0.0727,0.0,236.4,236.4,236.4,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
95,110069,110135,0.00661,0.04731,0.01917,270.9,270.9,270.9,0,0,1,0,0,-71.59,14.26,71.93,-13.83,0,0,0,0
96,110069,111411,0.00302,0.01919,0.0432,266.1,266.1,266.1,0,0,1,0,0,61.19,-16.52,-61.07,12.73,0,0,0,0
97,110070,110072,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
98,110071,110072,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
99,110073,110076,0.00111,0.03635,0.0,263.3,263.3,263.3,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
100,110073,110125,0.006,0.0325,0.02467,294.5,294.5,294.5,0,0,1,0,0,148.56,-15.48,-147.29,19.78,0,0,0,0
101,110073,110127,0.00551,0.02501,0.08912,347.6,347.6,347.6,0,0,1,0,0,-127.02,19.81,127.89,-25.22,0,0,0,0
102,110073,110127,0.00551,0.02501,0.08912,347.6,347.6,347.6,0,0,1,0,0,-127.02,19.81,127.89,-25.22,0,0,0,0
103,110073,110128,0.0046,0.02508,0.01599,251.5,251.5,251.5,0,0,1,0,0,2.66,3.36,-2.66,-5.03,0,0,0,0
104,110074,110076,0.0,0.01,0.0,19.9,19.9,19.9,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
105,110075,110076,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
106,110077,110080,0.00136,0.03945,0.0,235.2,235.2,235.2,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
107,110077,110125,0.00534,0.04807,0.02563,256.6,256.6,256.6,0,0,1,0,0,68.85,-9.48,-68.6,9.02,0,0,0,0
108,110078,110080,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
109,110079,110080,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
110,110081,110084,0.00177,0.0517,0.0,260.5,260.5,260.5,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
111,110093,110081,0.00329,0.01972,0.03621,271.2,271.2,271.2,0,0,1,0,0,49.03,-35.73,-48.91,32.71,0,0,0,0
112,110081,110097,0.00245,0.01418,0.0059,268.0,268.0,268.0,0,0,1,0,0,44.21,-32.93,-44.14,32.74,0,0,0,0
113,110082,110084,0.0,0.01,0.0,18.1,18.1,18.1,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
114,110083,110084,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
115,110085,110088,0.00181,0.06782,0.0,234.4,234.4,234.4,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
116,110085,110109,0.00567,0.02736,0.02138,258.3,258.3,258.3,0,0,1,0,0,80.28,-44.15,-79.84,44.01,0,0,0,0
117,110085,110135,0.00526,0.03078,0.01461,261.8,261.8,261.8,0,0,1,0,0,-84.35,43.1,84.8,-42.0,0,0,0,0
118,110086,110088,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
119,110087,110088,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
120,110089,110092,0.00191,0.0681,0.0,232.7,232.7,232.7,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
121,110089,110105,0.01072,0.07485,0.02906,250.6,250.6,250.6,0,0,1,0,0,22.38,-10.05,-22.32,7.4,0,0,0,0
122,110089,110117,0.01888,0.08111,0.03943,259.5,259.5,259.5,0,0,1,0,0,51.57,-0.24,-51.09,-1.79,0,0,0,0
123,110136,110089,0.00423,0.0268,0.00885,280.1,280.1,280.1,0,0,1,0,0,78.09,-9.27,-77.84,9.92,0,0,0,0
124,110090,110092,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
125,110091,110092,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
126,110093,110096,0.00181,0.05198,0.0,246.8,246.8,246.8,1,0,1,0,0,115.37,85.74,-115.0,-75.2,0,0,0,0
127,110093,110117,0.00251,0.01387,0.13435,293.7,293.7,293.7,0,0,1,0,0,134.25,-60.72,-133.73,49.82,0,0,0,0
128,110122,110093,0.00625,0.03847,0.01973,319.4,319.4,319.4,0,0,1,0,0,134.15,19.44,-133.05,-14.73,0,0,0,0
129,110093,160128,0.01925,0.09925,0.05994,294.0,294.0,294.0,0,0,1,0,0,-166.17,25.3,171.54,-3.85,0,0,0,0
130,110094,110096,0.0,0.01,0.0,11.0,11.0,11.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
131,110095,110096,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
132,110097,110100,0.00153,0.0464,0.0,257.1,257.1,257.1,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
133,110097,110127,0.00423,0.03299,0.01712,265.3,265.3,265.3,0,0,1,0,0,42.19,-33.19,-42.07,32.3,0,0,0,0
134,110098,110100,0.0,0.01,0.0,13.4,13.4,13.4,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
135,110099,110100,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
136,110101,110104,0.00182,0.04833,0.0,247.5,247.5,247.5,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
137,110101,160120,0.0079,0.03647,0.04222,290.9,290.9,290.9,0,0,1,0,0,-131.96,25.7,133.31,-24.0,0,0,0,0
138,110102,110104,0.0,0.01,0.0,11.7,11.7,11.7,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
139,110103,110104,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
140,110105,110108,0.00138,0.04725,0.0,232.4,232.4,232.4,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
141,110106,110108,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
142,110107,110108,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
143,110109,110112,0.00178,0.06478,0.0,244.4,244.4,244.4,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
144,110568,110109,0.00258,0.0175,0.04609,258.0,258.0,258.0,0,0,1,0,0,-79.59,0.54,79.75,-4.44,0,0,0,0
145,110110,110112,0.0,0.01,0.0,10.2,10.2,10.2,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
146,110111,110112,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
147,110113,110116,0.00179,0.05302,0.0,232.3,232.3,232.3,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
148,110139,110113,0.00128,0.00739,0.01036,307.6,307.6,307.6,0,0,1,0,0,111.26,-28.62,-111.11,28.41,0,0,0,0
149,110114,110116,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
150,110115,110116,0.0,0.01,0.0,10.0,10.0,10.0,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0
151,110117,110138,0.00404,0.02448,0.02553,309.6,309.6,309.6,0,0,1,0,0,180.13,-48.78,-178.76,54.41,0,0,0,0
152,110130,110118,0.00486,0.02074,0.03121,316.0,316.0,316.0,0,0,1,0,0,-153.87,10.45,154.97,-9.01,0,0,0,0
153,110130,110118,0.00486,0.02074,0.03121,316.0,316.0,316.0,0,0,1,0,0,-153.87,10.45,154.97,-9.01,0,0,0,0
154,110119,110138,0.00435,0.02482,0.03329,270.6,270.6,270.6,0,0,1,0,0,-107.43,7.52,107.92,-8.17,0,0,0,0
155,110119,110725,0.01502,0.09647,0.04632,270.1,270.1,270.1,0,0,1,0,0,105.48,-8.2,-103.86,13.86,0,0,0,0
156,110127,110120,0.00139,0.00737,0.00665,305.1,305.1,305.1,0,0,1,0,0,125.87,7.1,-125.66,-6.69,0,0,0,0
157,110138,110120,0.00388,0.01996,0.00825,304.6,304.6,304.6,0,0,1,0,0,-122.92,-4.04,123.48,6.09,0,0,0,0
158,110121,110127,0.01179,0.04474,0.021,274.5,274.5,274.5,0,0,1,0,0,-38.61,-1.61,38.78,0.05,0,0,0,0
159,110133,110122,0.00682,0.04218,0.0154,337.0,337.0,337.0,0,0,1,0,0,-175.19,34.11,177.27,-22.9,0,0,0,0
160,110122,160169,0.00607,0.03591,0.05908,355.5,355.5,355.5,0,0,1,0,0,-156.17,1.58,157.58,0.53,0,0,0,0
161,110122,160169,0.00607,0.03591,0.05908,355.5,355.5,355.5,0,0,1,0,0,-156.17,1.58,157.58,0.53,0,0,0,0
162,110123,110151,0.00646,0.02351,0.05405,282.3,282.3,282.3,0,0,1,0,0,-177.97,-14.32,180.0,16.15,0,0,0,0
163,110123,110500,0.00479,0.02609,0.13243,292.2,292.2,292.2,0,0,1,0,0,141.24,-47.12,-140.22,39.22,0,0,0,0
164,230062,110124,0.00385,0.01802,0.04943,273.2,273.2,273.2,0,0,1,0,0,-44.67,21.17,44.76,-26.08,0,0,0,0
165,110124,270044,0.00457,0.0216,0.11878,229.9,229.9,229.9,0,0,1,0,0,-50.04,-5.39,50.15,-6.92,0,0,0,0
166,111411,110125,0.00073,0.00474,0.00125,305.3,305.3,305.3,0,0,1,0,0,-188.83,34.67,189.09,-33.13,0,0,0,0
167,110127,110126,0.00026,0.01809,0.0,494.0,494.0,494.0,1,0,1,0,0,-300.43,-35.4,300.66,51.1,0,0,0,0
168,110127,110126,0.00026,0.01809,0.0,494.0,494.0,494.0,1,0,1,0,0,-300.43,-35.4,300.66,51.1,0,0,0,0
169,110126,111216,0.0004,0.00494,0.11262,1371.2,1371.2,1371.2,0,0,1,0,0,-847.63,1.57,850.31,19.43,0,0,0,0
170,110126,111305,0.00095,0.01124,0.17615,1166.3,1166.3,1166.3,0,0,1,0,0,590.11,-79.23,-586.98,97.3,0,0,0,0
171,111389,110126,0.0011,0.01366,0.35493,1310.8,1310.8,1310.8,0,0,1,0,0,-546.03,80.06,549.16,-79.38,0,0,0,0
172,110126,160264,0.00205,0.01872,0.43705,1245.4,1245.4,1245.4,0,0,1,0,0,-892.96,137.21,908.71,-40.36,0,0,0,0
173,110128,110134,0.00077,0.00569,0.00271,239.2,239.2,239.2,0,0,1,0,0,-38.74,-1.67,38.75,1.46,0,0,0,0
174,110129,110144,0.00275,0.01356,0.05326,281.1,281.1,281.1,0,0,1,0,0,-80.37,-28.92,80.56,24.14,0,0,0,0
175,110129,110147,0.00226,0.01521,0.01849,254.0,254.0,254.0,0,0,1,0,0,42.67,20.66,-42.62,-22.28,0,0,0,0
176,110146,110130,0.00533,0.03435,0.02942,302.0,302.0,302.0,0,0,1,0,0,-173.1,34.37,174.69,-27.22,0,0,0,0
177,110151,110130,0.00055,0.0038,0.00809,285.3,285.3,285.3,0,0,1,0,0,-186.4,-18.18,186.59,18.61,0,0,0,0
178,230041,110130,0.00473,0.03217,0.01435,267.1,267.1,267.1,0,0,1,0,0,64.04,13.22,-63.85,-13.43,0,0,0,0
179,110159,110131,0.00088,0.00585,0.00263,288.3,288.3,288.3,0,0,1,0,0,-172.71,23.55,172.96,-22.17,0,0,0,0
180,110131,110161,0.00316,0.01426,0.00879,293.7,293.7,293.7,0,0,1,0,0,-188.46,19.61,189.52,-15.78,0,0,0,0
181,111363,110132,0.00299,0.01389,0.00387,311.3,311.3,311.3,0,0,1,0,0,232.98,21.08,-231.44,-14.32,0,0,0,0
182,110135,110138,0.001,0.0055,0.0017,302.9,302.9,302.9,0,0,1,0,0,-178.53,49.13,178.86,-47.49,0,0,0,0
183,110136,160102,0.0056,0.03442,0.04795,285.7,285.7,285.7,0,0,1,0,0,-87.59,6.18,88.0,-8.68,0,0,0,0
184,110137,110152,0.00377,0.02057,0.03892,236.5,236.5,236.5,0,0,1,0,0,19.26,-3.0,-19.25,-1.05,0,0,0,0
185,110137,110156,0.00243,0.01399,0.01358,244.4,244.4,244.4,0,0,1,0,0,-20.29,-9.09,20.3,7.71,0,0,0,0
186,270084,110139,0.00656,0.0335,0.01042,307.9,307.9,307.9,0,0,1,0,0,112.56,-25.49,-111.74,28.54,0,0,0,0
187,110140,110148,0.00241,0.015,0.0099,252.7,252.7,252.7,0,0,1,0,0,-17.89,18.05,17.9,-19.0,0,0,0,0
188,110140,110149,0.00343,0.01506,0.01184,244.3,244.3,244.3,0,0,1,0,0,8.49,-19.4,-8.47,18.2,0,0,0,0
189,110144,110141,0.002,0.00998,0.00696,282.3,282.3,282.3,0,0,1,0,0,-149.5,50.17,149.96,-48.6,0,0,0,0
190,110141,110149,0.00244,0.01111,0.04148,241.1,241.1,241.1,0,0,1,0,0,1.34,17.35,-1.33,-21.74,0,0,0,0
191,110141,110159,0.00192,0.0096,0.00831,287.4,287.4,287.4,0,0,1,0,0,-169.4,26.28,169.92,-24.53,0,0,0,0
192,110142,110147,0.00201,0.01236,0.0071,274.1,274.1,274.1,0,0,1,0,0,77.62,-35.72,-77.48,35.83,0,0,0,0
193,110142,111407,0.00874,0.04495,0.03184,275.8,275.8,275.8,0,0,1,0,0,-99.08,19.22,99.93,-18.16,0,0,0,0
194,110143,110807,0.00419,0.01898,0.11622,307.9,307.9,307.9,0,0,1,0,0,164.18,-24.2,-163.11,16.66,0,0,0,0
195,111405,110143,0.00178,0.01283,0.00335,308.8,308.8,308.8,0,0,1,0,0,170.97,-20.11,-170.48,23.3,0,0,0,0
196,110145,110212,0.00681,0.03795,0.08481,350.0,297.0,297.0,0,0,1,0,0,242.68,0.69,-238.81,12.2,0,0,0,0
197,110145,230058,0.00617,0.0356,0.07357,283.9,283.9,283.9,0,0,1,0,0,-180.1,6.22,182.03,-2.75,0,0,0,0
198,230064,110145,0.00274,0.01706,0.01722,266.1,266.1,266.1,0,0,1,0,0,64.58,6.19,-64.46,-7.29,0,0,0,0
199,110146,110157,0.00402,0.01801,0.01437,301.6,301.6,301.6,0,0,1,0,0,172.14,-34.6,-170.96,38.38,0,0,0,0
