bus_name,BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN,LAM_P,LAM_Q,MU_VMAX,MU_VMIN
LOUISE 2 3,110055,1,0.0,0.0,0,0.0,7,1.0261359,-6.415464,13.8,1,1.1,0.9,27.46,0.01,0,0
LOUISE 2 4,110056,1,0.0,0.0,0,0.0,7,1.0261359,-6.415464,1.0,1,1.1,0.9,27.46,0.01,0,0
LOUISE 3 1,110057,1,0.61,0.21,0,0.0,7,1.0273869,-7.223056,138.0,1,1.1,0.9,27.46,0.01,0,0
LOUISE 3 2,110058,1,0.0,0.0,0,0.0,7,1.0273869,-7.223056,24.0,1,1.1,0.9,27.46,0.01,0,0
LOUISE 3 3,110059,1,0.0,0.0,0,0.0,7,1.0273869,-7.223056,24.0,1,1.1,0.9,27.46,0.01,0,0
LOUISE 3 4,110060,1,0.0,0.0,0,0.0,7,1.0273869,-7.223056,1.0,1,1.1,0.9,27.46,0.01,0,0
NADA 2 1,110061,1,1.58,0.38,0,0.0,7,1.027713,-6.530545,138.0,1,1.1,0.9,27.46,0.01,0,0
NADA 2 2,110062,1,0.0,0.0,0,0.0,7,1.027713,-6.530545,18.0,1,1.1,0.9,27.46,0.01,0,0
NADA 2 3,110063,1,0.0,0.0,0,0.0,7,1.027713,-6.530545,18.0,1,1.1,0.9,27.46,0.01,0,0
NADA 2 4,110064,1,0.0,0.0,0,0.0,7,1.027713,-6.530545,1.0,1,1.1,0.9,27.46,0.01,0,0
KENDLETON 1 1,110065,1,3.24,1.05,0,0.0,7,1.0230903,-12.10872,138.0,1,1.1,0.9,27.46,0.01,0,0
KENDLETON 1 2,110066,1,0.0,0.0,0,0.0,7,1.0230903,-12.10872,24.0,1,1.1,0.9,27.46,0.01,0,0
KENDLETON 1 3,110067,1,0.0,0.0,0,0.0,7,1.0230903,-12.10872,24.0,1,1.1,0.9,27.46,0.01,0,0
KENDLETON 1 4,110068,1,0.0,0.0,0,0.0,7,1.0230903,-12.10872,1.0,1,1.1,0.9,27.46,0.01,0,0
PLEDGER 1 1,110069,1,10.4,2.26,0,0.0,7,1.021806,-9.693303,138.0,1,1.1,0.9,27.48,0.01,0,0
PLEDGER 1 2,110070,1,0.0,0.0,0,0.0,7,1.021806,-9.693303,13.8,1,1.1,0.9,27.48,0.01,0,0
PLEDGER 1 3,110071,1,0.0,0.0,0,0.0,7,1.021806,-9.693303,13.8,1,1.1,0.9,27.48,0.01,0,0
PLEDGER 1 4,110072,1,0.0,0.0,0,0.0,7,1.021806,-9.693303,1.0,1,1.1,0.9,27.48,0.01,0,0
DANEVANG 1 1,110073,1,5.7,1.13,0,0.0,7,1.0255971,-7.171018,138.0,1,1.1,0.9,27.46,0.01,0,0
DANEVANG 1 2,110074,1,0.0,0.0,0,0.0,7,1.0255971,-7.171018,13.8,1,1.1,0.9,27.46,0.01,0,0
DANEVANG 1 3,110075,1,0.0,0.0,0,0.0,7,1.0255971,-7.171018,13.8,1,1.1,0.9,27.46,0.01,0,0
DANEVANG 1 4,110076,1,0.0,0.0,0,0.0,7,1.0255971,-7.171018,1.0,1,1.1,0.9,27.46,0.01,0,0
DANEVANG 2 1,110077,1,2.41,0.45,0,0.0,7,1.0217643,-8.017345,138.0,1,1.1,0.9,27.46,0.01,0,0
DANEVANG 2 2,110078,1,0.0,0.0,0,0.0,7,1.0217643,-8.017345,18.0,1,1.1,0.9,27.46,0.01,0,0
DANEVANG 2 3,110079,1,0.0,0.0,0,0.0,7,1.0217643,-8.017345,18.0,1,1.1,0.9,27.46,0.01,0,0
DANEVANG 2 4,110080,1,0.0,0.0,0,0.0,7,1.0217643,-8.017345,1.0,1,1.1,0.9,27.46,0.01,0,0
ELMATON 1 1,110081,1,4.7,0.22,0,0.0,7,1.0146134,-4.139481,138.0,1,1.1,0.9,27.48,0.01,0,0
ELMATON 1 2,110082,1,0.0,0.0,0,0.0,7,1.0146134,-4.139481,24.0,1,1.1,0.9,27.48,0.01,0,0
ELMATON 1 3,110083,1,0.0,0.0,0,0.0,7,1.0146134,-4.139481,24.0,1,1.1,0.9,27.48,0.01,0,0
ELMATON 1 4,110084,1,0.0,0.0,0,0.0,7,1.0146134,-4.139481,1.0,1,1.1,0.9,27.48,0.01,0,0
BAY CITY 1 1,110085,1,4.07,1.05,0,0.0,7,1.0283858,-9.319997,138.0,1,1.1,0.9,27.53,0.01,0,0
BAY CITY 1 2,110086,1,0.0,0.0,0,0.0,7,1.0283858,-9.319997,18.0,1,1.1,0.9,27.53,0.01,0,0
BAY CITY 1 3,110087,1,0.0,0.0,0,0.0,7,1.0283858,-9.319997,18.0,1,1.1,0.9,27.53,0.01,0,0
BAY CITY 1 4,110088,1,0.0,0.0,0,0.0,7,1.0283858,-9.319997,1.0,1,1.1,0.9,27.53,0.01,0,0
PALACIOS 1 1,110089,1,3.89,0.38,0,0.0,7,1.0239356,-2.364095,138.0,1,1.1,0.9,27.49,0.01,0,0
PALACIOS 1 2,110090,1,0.0,0.0,0,0.0,7,1.0239356,-2.364095,18.0,1,1.1,0.9,27.49,0.01,0,0
PALACIOS 1 3,110091,1,0.0,0.0,0,0.0,7,1.0239356,-2.364095,18.0,1,1.1,0.9,27.49,0.01,0,0
PALACIOS 1 4,110092,1,0.0,0.0,0,0.0,7,1.0239356,-2.364095,1.0,1,1.1,0.9,27.49,0.01,0,0
MIDFIELD 1 1,110093,1,0.58,0.14,0,0.0,7,1.009535,-3.536299,138.0,1,1.1,0.9,27.48,0.01,0,0
MIDFIELD 1 2,110094,1,0.0,0.0,0,0.0,7,0.9650575,-6.973774,13.8,1,1.1,0.9,27.48,0.01,0,0
MIDFIELD 1 3,110095,1,0.0,0.0,0,0.0,7,0.9650575,-6.973774,13.8,1,1.1,0.9,27.48,0.01,0,0
MIDFIELD 1 4,110096,1,115.0,75.2,0,0.0,7,0.9650575,-6.973774,1.0,1,1.1,0.9,27.48,0.01,0,0
ELMATON 2 1,110097,1,1.95,0.45,0,0.0,7,1.01813,-4.531549,138.0,1,1.1,0.9,27.48,0.01,0,0
ELMATON 2 2,110098,1,0.0,0.0,0,0.0,7,1.01813,-4.531549,13.8,1,1.1,0.9,27.48,0.01,0,0
ELMATON 2 3,110099,1,0.0,0.0,0,0.0,7,1.01813,-4.531549,13.8,1,1.1,0.9,27.48,0.01,0,0
ELMATON 2 4,110100,1,0.0,0.0,0,0.0,7,1.01813,-4.531549,1.0,1,1.1,0.9,27.48,0.01,0,0
PALACIOS 2 1,110101,1,0.99,0.3,0,26.6,7,1.0337231,-1.639254,138.0,1,1.1,0.9,27.5,0.01,0,0
PALACIOS 2 2,110102,1,0.0,0.0,0,0.0,7,1.0337231,-1.639254,13.8,1,1.1,0.9,27.5,0.01,0,0
PALACIOS 2 3,110103,1,0.0,0.0,0,0.0,7,1.0337231,-1.639254,13.8,1,1.1,0.9,27.5,0.01,0,0
PALACIOS 2 4,110104,1,0.0,0.0,0,0.0,7,1.0337231,-1.639254,1.0,1,1.1,0.9,27.5,0.01,0,0
MATAGORDA 2 1,110105,1,4.8,0.3,0,0.0,7,1.0279726,-3.325632,138.0,1,1.1,0.9,27.51,0.01,0,0
MATAGORDA 2 2,110106,1,0.0,0.0,0,0.0,7,1.0279726,-3.325632,18.0,1,1.1,0.9,27.51,0.01,0,0
MATAGORDA 2 3,110107,1,0.0,0.0,0,0.0,7,1.0279726,-3.325632,18.0,1,1.1,0.9,27.51,0.01,0,0
MATAGORDA 2 4,110108,1,0.0,0.0,0,0.0,7,1.0279726,-3.325632,1.0,1,1.1,0.9,27.51,0.01,0,0
SWEENY 1 1,110109,1,0.09,0.01,0,36.9,7,1.0356752,-10.632944,138.0,1,1.1,0.9,27.55,0.01,0,0
SWEENY 1 2,110110,1,0.0,0.0,0,0.0,7,1.0356752,-10.632944,13.8,1,1.1,0.9,27.55,0.01,0,0
SWEENY 1 3,110111,1,0.0,0.0,0,0.0,7,1.0356752,-10.632944,13.8,1,1.1,0.9,27.55,0.01,0,0
SWEENY 1 4,110112,1,0.0,0.0,0,0.0,7,1.0356752,-10.632944,1.0,1,1.1,0.9,27.55,0.01,0,0
EDNA 2 1,110113,1,0.66,0.22,0,0.0,7,1.0361981,-3.69265,138.0,1,1.1,0.9,27.46,0.01,0,0
EDNA 2 2,110114,1,0.0,0.0,0,0.0,7,1.0361981,-3.69265,18.0,1,1.1,0.9,27.46,0.01,0,0
EDNA 2 3,110115,1,0.0,0.0,0,0.0,7,1.0361981,-3.69265,18.0,1,1.1,0.9,27.46,0.01,0,0
EDNA 2 4,110116,1,0.0,0.0,0,0.0,7,1.0361981,-3.69265,1.0,1,1.1,0.9,27.46,0.01,0,0
MARKHAM 1 1,110117,1,4.7,0.75,0,0.0,7,1.0137923,-4.654491,138.0,1,1.1,0.9,27.49,0.01,0,0
ALTAIR 1 1,110118,1,0.63,0.22,0,0.0,7,1.0281398,-8.976583,138.0,1,1.1,0.9,27.45,0.02,0,0
CEDAR LANE 2 1,110119,1,1.95,0.68,0,0.0,7,1.0163975,-8.70442,138.0,1,1.1,0.9,27.54,0.01,0,0
BAY CITY 2 1,110120,1,2.18,0.6,0,0.0,7,1.0247547,-5.868602,138.0,1,1.1,0.9,27.48,0.01,0,0
WADSWORTH 1 1,110121,1,0.49,0.16,0,0.0,7,1.0221353,-6.308827,138.0,1,1.1,0.9,27.54,0.01,0,0
LA WARD 1 1,110122,1,0.92,0.3,0,0.0,7,1.0242146,-0.746418,138.0,1,1.1,0.9,27.47,0.01,0,0
HUNGERFORD 2 1,110123,1,111.14,79.15,0,0.0,7,1.0061513,-13.423177,138.0,1,1.1,0.9,27.44,0.01,0,0
GARWOOD 1 1,110124,1,0.46,0.09,0,0.0,7,1.0378097,-7.943878,138.0,1,1.1,0.9,27.45,0.02,0,0
LANE CITY 2 1,110125,1,26.8,4.33,0,0.0,7,1.0225243,-9.856426,138.0,1,1.1,0.9,27.47,0.01,0,0
BAY CITY 3 1,110126,1,0.0,0.0,0,76.84,7,1.0352994,-2.444048,345.0,1,1.1,0.9,27.46,0.0,0,0
BAY CITY 3 2,110127,1,222.5,81.8,0,0.0,7,1.0269539,-5.369169,138.0,1,1.1,0.9,27.48,0.01,0,0
EL CAMPO 3 1,110128,1,41.4,6.7,0,0.0,7,1.0244504,-7.196909,138.0,1,1.1,0.9,27.46,0.01,0,0
BROOKSHIRE 1 1,110129,1,37.7,8.26,0,0.0,7,1.0304784,-19.011627,138.0,1,1.1,0.9,27.44,0.01,0,0
EAGLE LAKE 1 1,110130,1,10.3,1.13,0,0.0,7,1.0227884,-10.747621,138.0,1,1.1,0.9,27.45,0.02,0,0
SEALY 1 1,110131,1,15.5,2.56,0,0.0,7,1.0352043,-16.1641,138.0,1,1.1,0.9,27.43,0.01,0,0
WHARTON 2 1,110132,1,100.5,9.37,0,0.0,7,1.0208398,-11.418891,138.0,1,1.1,0.9,27.44,0.01,0,0
GANADO 2 1,110133,1,6.3,1.95,0,0.0,7,1.0242185,-4.916247,138.0,1,1.1,0.9,27.46,0.01,0,0
EL CAMPO 4 1,110134,1,4.6,0.6,0,0.0,7,1.0248284,-7.077261,138.0,1,1.1,0.9,27.46,0.01,0,0
MARKHAM 2 1,110135,1,21.8,6.7,0,0.0,7,1.0199411,-7.775494,138.0,1,1.1,0.9,27.51,0.01,0,0
PALACIOS 3 1,110136,1,9.5,3.09,0,0.0,7,1.0246454,-1.200824,138.0,1,1.1,0.9,27.49,0.01,0,0
PATTISON 1 1,110137,1,14.2,2.34,0,0.0,7,1.0288302,-16.894875,138.0,1,1.1,0.9,27.44,0.01,0,0
BAY CITY 4 1,110138,1,14.9,5.3,0,0.0,7,1.0190875,-7.207088,138.0,1,1.1,0.9,27.5,0.01,0,0
EDNA 3 1,110139,1,0.48,0.08,0,0.0,7,1.0355376,-3.234422,138.0,1,1.1,0.9,27.46,0.01,0,0
BROOKSHIRE 2 1,110140,1,9.4,1.35,0,0.0,7,1.0296379,-17.492167,138.0,1,1.1,0.9,27.44,0.01,0,0
SAN FELIPE 1 1,110141,1,18.1,4.97,0,0.0,7,1.0342354,-17.613456,138.0,1,1.1,0.9,27.43,0.01,0,0
BROOKSHIRE 3 1,110142,1,21.46,16.5,0,0.0,7,1.0235715,-18.774772,138.0,1,1.1,0.9,27.44,0.01,0,0
SEALY 2 1,110143,1,6.3,0.9,0,0.0,7,1.0339228,-17.572352,138.0,1,1.1,0.9,27.42,0.01,0,0
SAN FELIPE 2 1,110144,1,68.94,33.9,0,100.8,7,1.0361035,-18.465273,138.0,1,1.1,0.9,27.44,0.01,0,0
PRAIRIE VIEW 1 1,110145,1,1.88,0.38,0,0.0,7,1.0183737,-14.335278,138.0,1,1.1,0.9,27.46,0.02,0,0
LISSIE 1 1,110146,1,0.96,0.22,0,0.0,7,1.024069,-14.106964,138.0,1,1.1,0.9,27.45,0.02,0,0
BROOKSHIRE 4 1,110147,1,6.5,0.83,0,0.0,7,1.0263652,-19.336737,138.0,1,1.1,0.9,27.44,0.01,0,0
BROOKSHIRE 5 1,110148,1,2.86,0.22,0,0.0,7,1.0273558,-17.322596,138.0,1,1.1,0.9,27.44,0.02,0,0
BROOKSHIRE 6 1,110149,1,9.8,3.54,0,0.0,7,1.0321019,-17.595789,138.0,1,1.1,0.9,27.44,0.01,0,0
HOCKLEY 1 1,110150,1,5.2,1.58,0,0.0,7,1.0307262,-18.853149,138.0,1,1.1,0.9,27.47,0.0,0,0
EAGLE LAKE 2 1,110151,1,6.4,2.03,0,0.0,7,1.0211007,-11.130863,138.0,1,1.1,0.9,27.45,0.02,0,0
BROOKSHIRE 7 1,110152,1,4.07,0.53,0,0.0,7,1.0283193,-17.111376,138.0,1,1.1,0.9,27.44,0.01,0,0
HOCKLEY 2 1,110153,1,5.4,1.95,0,0.0,7,1.0265381,-19.65076,138.0,1,1.1,0.9,27.47,0.0,0,0
WALLER 1 1,110154,1,5.7,1.73,0,0.0,7,1.0326501,-12.465369,138.0,1,1.1,0.9,27.49,-0.03,0,0
WALLER 2 1,110155,1,4.9,1.73,0,36.6,7,1.0307626,-13.454996,138.0,1,1.1,0.9,27.49,-0.03,0,0
PATTISON 2 1,110156,1,4.6,0.75,0,0.0,7,1.0304511,-16.752469,138.0,1,1.1,0.9,27.43,0.01,0,0
WALLIS 1 1,110157,1,6.3,0.68,0,0.0,7,1.0237512,-15.875959,138.0,1,1.1,0.9,27.44,0.02,0,0
KATY 1 1,110158,1,2.86,0.75,0,0.0,7,1.0235006,-20.967789,138.0,1,1.1,0.9,27.44,0.01,0,0
SEALY 3 1,110159,1,2.79,0.98,0,0.0,7,1.0350268,-16.715546,138.0,1,1.1,0.9,27.43,0.01,0,0
SEALY 4 1,110160,1,0.0,0.0,0,45.83,7,1.0386225,-11.576647,345.0,1,1.1,0.9,27.41,0.01,0,0
SEALY 4 2,110161,1,11.14,6.62,0,0.0,7,1.0385311,-14.697859,138.0,1,1.1,0.9,27.42,0.01,0,0
GALENA PARK 1 1,110162,1,0.0,0.0,0,0.0,7,1.0238628,-24.819294,138.0,1,1.1,0.9,27.59,0.0,0,0
GALENA PARK 1 2,110163,1,42.1,12.6,0,0.0,7,1.0189009,-27.264507,69.0,1,1.1,0.9,27.57,0.0,0,0
HUMBLE 1 1,110164,1,30.2,11.5,0,0.0,7,1.0095404,-27.873217,69.0,1,1.1,0.9,27.54,0.0,0,0
HUMBLE 2 1,110165,1,0.0,0.0,0,0.0,7,1.0134259,-24.083319,138.0,1,1.1,0.9,27.53,0.0,0,0
HUMBLE 2 2,110166,1,37.9,5.7,0,0.0,7,1.0190849,-27.31314,69.0,1,1.1,0.9,27.55,0.0,0,0
HUMBLE 3 1,110167,1,25.7,3.24,0,0.0,7,1.0162719,-27.996859,69.0,1,1.1,0.9,27.56,0.0,0,0
HOUSTON 1 1,110168,1,26.4,5.6,0,0.0,7,1.0070288,-28.481245,69.0,1,1.1,0.9,27.58,0.0,0,0
HUMBLE 4 1,110169,1,0.0,0.0,0,0.0,7,1.0198031,-25.935223,138.0,1,1.1,0.9,27.58,0.0,0,0
HUMBLE 4 2,110170,1,40.2,11.0,0,0.0,7,1.0255017,-27.964901,69.0,1,1.1,0.9,27.56,0.0,0,0
HUMBLE 5 1,110171,1,4.9,1.58,0,0.0,7,1.0154656,-27.70895,69.0,1,1.1,0.9,27.55,0.0,0,0
HUMBLE 6 1,110172,1,0.0,0.0,0,0.0,7,1.004735,-25.755245,138.0,1,1.1,0.9,27.53,0.0,0,0
HUMBLE 6 2,110173,1,54.7,11.6,0,0.0,7,1.007324,-27.824013,69.0,1,1.1,0.9,27.54,0.0,0,0
HOUSTON 2 1,110174,1,0.0,0.0,0,0.0,7,1.0198586,-25.573047,138.0,1,1.1,0.9,27.59,0.0,0,0
HOUSTON 2 2,110175,1,43.1,11.7,0,0.0,7,1.0045898,-28.231907,69.0,1,1.1,0.9,27.57,0.0,0,0
HUMBLE 7 1,110176,1,0.0,0.0,0,0.0,7,1.0095317,-25.039593,138.0,1,1.1,0.9,27.53,0.0,0,0
HUMBLE 7 2,110177,1,76.9,18.75,0,0.0,7,1.0120652,-27.357591,69.0,1,1.1,0.9,27.55,0.0,0,0
HUMBLE 8 1,110178,1,33.3,10.3,0,140.2,7,1.028912,-28.16171,69.0,1,1.1,0.9,27.56,0.0,0,0
HOUSTON 3 1,110179,1,23.4,7.1,0,0.0,7,1.0118046,-28.080469,69.0,1,1.1,0.9,27.56,0.0,0,0
KATY 2 1,110180,1,10.0,2.18,0,0.0,7,1.021232,-25.487166,69.0,1,1.1,0.9,27.49,0.0,0,0
CYPRESS 1 1,110181,1,17.2,10.58,0,0.0,7,1.0210098,-25.027415,69.0,1,1.1,0.9,27.47,0.0,0,0
KATY 3 1,110182,1,6.4,1.95,0,0.0,7,1.0183715,-25.676378,69.0,1,1.1,0.9,27.48,0.0,0,0
KATY 4 1,110183,1,9.2,3.31,0,0.0,7,1.0236602,-25.460249,69.0,1,1.1,0.9,27.48,0.0,0,0
KATY 5 1,110184,1,5.3,1.28,0,0.0,7,1.0219001,-25.457192,69.0,1,1.1,0.9,27.48,0.0,0,0
KATY 6 1,110185,1,3.89,1.13,0,0.0,7,1.0292835,-24.287306,69.0,1,1.1,0.9,27.47,0.01,0,0
KATY 7 1,110186,1,5.3,0.83,0,0.0,7,1.0283577,-24.628186,69.0,1,1.1,0.9,27.46,0.01,0,0
KATY 8 1,110187,1,16.9,7.94,0,28.6,7,1.023763,-25.437645,69.0,1,1.1,0.9,27.49,0.0,0,0
KATY 9 1,110188,1,0.0,0.0,0,0.0,7,1.0260315,-21.478678,138.0,1,1.1,0.9,27.42,0.01,0,0
KATY 9 2,110189,1,7.9,1.2,0,0.0,7,1.0337614,-24.606566,69.0,1,1.1,0.9,27.45,0.01,0,0
KATY 9 3,110190,1,0.0,0.0,0,0.0,7,1.0274858,-22.137851,18.0,1,1.1,0.9,27.42,0.01,0,0
KATY 9 4,110191,1,0.0,0.0,0,0.0,7,1.0274858,-22.137851,1.0,1,1.1,0.9,27.42,0.01,0,0
CYPRESS 2 1,110192,1,6.4,1.58,0,0.0,7,1.0216758,-25.412298,69.0,1,1.1,0.9,27.49,0.0,0,0
KATY 10 1,110193,1,5.7,1.43,0,0.0,7,1.0198251,-25.04627,69.0,1,1.1,0.9,27.48,0.0,0,0
CYPRESS 3 1,110194,1,3.61,0.15,0,93.3,7,1.0270579,-25.501707,69.0,1,1.1,0.9,27.48,0.0,0,0
KATY 11 1,110195,1,4.8,1.5,0,0.0,7,1.0323061,-25.426055,69.0,1,1.1,0.9,27.48,0.0,0,0
KATY 12 1,110196,1,2.41,0.53,0,0.0,7,1.0253178,-25.435054,69.0,1,1.1,0.9,27.48,0.0,0,0
KATY 13 1,110197,1,8.0,2.71,0,0.0,7,1.0210061,-24.94877,69.0,1,1.1,0.9,27.48,0.0,0,0
CYPRESS 4 1,110198,1,16.1,8.28,0,0.0,7,1.0179648,-25.223755,69.0,1,1.1,0.9,27.48,0.0,0,0
